City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lar,0,IR,1555470000,77,27.66,54.32,59,4.29
Przeworsk,90,PL,1555471639,93,50.06,22.49,42.01,10.29
Roald,0,NO,1555471827,80,62.58,6.12,43,6.93
Dingle,29,PH,1555471882,42,11,122.67,92.57,6.8
Kruisfontein,100,ZA,1555471882,90,-34,24.73,52.43,2.75
Guerrero Negro,0,MX,1555471882,81,27.97,-114.04,61.07,12.26
Cayenne,90,GF,1555470000,78,4.94,-52.33,80.6,5.82
Derbent,100,RU,1555471883,95,42.06,48.29,49.01,2.82
Zhaozhou,100,CN,1555471883,31,45.71,125.27,64.67,24.52
Grand Gaube,40,MU,1555471744,88,-20.01,57.66,77,5.82
Namibe,7,AO,1555471883,76,-15.19,12.15,71.33,9.17
Pionki,49,PL,1555471833,99,51.47,21.44,41,5.41
San Blas,0,MX,1555471883,74,21.54,-105.29,74.39,2.42
Ballina,39,IE,1555471691,92,54.11,-9.15,44.01,7
San Cristobal,75,EC,1555471859,93,-0.39,-78.55,57.2,4.7
Ngaoundere,100,CM,1555471884,62,7.32,13.58,72.05,2.28
Durango,90,US,1555471815,45,37.28,-107.88,59,9.17
Cabuyaro,100,CO,1555471884,88,4.29,-72.79,76.01,3.13
Golden,67,CA,1555471634,69,51.3,-116.96,31.01,2.91
Kodiak,1,US,1555471878,35,39.95,-94.76,72,10.29
Dong Hoi,54,VN,1555471665,64,17.48,106.6,88.61,5.08
Kamaishi,0,JP,1555470000,28,39.28,141.86,68,3.36
Arbagar,95,RU,1555471885,38,51.94,116.28,37.85,8.72
Ilulissat,75,GL,1555469400,66,69.22,-51.1,15.8,5.82
Bacolod,45,PH,1555471885,66,10.68,122.95,86.27,5.08
Caravelas,100,BR,1555471885,90,-17.73,-39.27,76.91,3.42
Verkh-Usugli,100,RU,1555471885,43,52.7,115.17,36.77,0.29
Hue,40,VN,1555470000,63,16.47,107.58,93.2,5.82
Daniel Flores,100,CR,1555471886,77,9.34,-83.67,72.23,2.68
Bonavista,100,CA,1555470919,88,48.65,-53.11,34,8.01
Saint-Georges,64,CA,1555471032,92,46.12,-70.67,36,3
Hofn,100,IS,1555471886,99,64.25,-15.21,34.79,17.29
Tuktoyaktuk,20,CA,1555470000,78,69.44,-133.03,14,10.29
Sioux Lookout,40,CA,1555470000,45,50.1,-91.92,46.4,6.93
Arraial do Cabo,66,BR,1555471887,87,-22.97,-42.02,74.93,18.88
Damoh,23,IN,1555471887,43,23.84,79.44,80.51,6.04
Broken Hill,2,AU,1555470000,18,-31.97,141.45,87.8,13.87
Inirida,99,CO,1555471887,84,3.87,-67.92,78.17,1.83
Thompson,40,CA,1555470000,93,55.74,-97.86,35.6,5.82
Hay River,40,CA,1555470000,80,60.82,-115.79,33.8,3.36
Tchollire,69,CM,1555471888,45,8.4,14.17,85.01,2.3
East London,0,ZA,1555470000,87,-33.02,27.91,53.6,3.36
Port Hardy,75,CA,1555470000,81,50.7,-127.42,48.2,3.36
Mount Gambier,90,AU,1555470000,93,-37.83,140.78,64.4,9.17
Fort Nelson,75,CA,1555470000,29,58.81,-122.69,51.8,4.7
Beloha,33,MG,1555471948,91,-25.17,45.06,68.99,1.92
Tlaxco,0,MX,1555471948,34,19.61,-98.12,63.95,5.41
Xucheng,0,CN,1555471949,49,33,118.51,74.21,8.77
Moundsville,20,US,1555471940,39,39.92,-80.74,64,8.05
Liverpool,20,GB,1555471754,87,53.41,-2.98,48,9.17
Hithadhoo,100,MV,1555471949,75,-0.6,73.08,85.55,8.88
Grand Baie,40,MU,1555471744,88,-20.02,57.58,77,5.82
Nome,75,US,1555471917,77,30.04,-94.42,71.01,9.17
Ushtobe,100,KZ,1555471949,38,45.25,77.98,58.37,6.17
Loreto,0,PY,1555471950,82,-23.27,-57.32,72.05,5.3
Sabha,0,LY,1555471950,20,27.03,14.43,68.99,8.7
Pavilosta,0,LV,1555469400,74,56.89,21.19,37.4,2.24
Luwuk,99,ID,1555471934,90,-0.95,122.79,70.97,1.79
Kenai,1,US,1555471923,70,60.55,-151.26,46.99,17.22
Lebu,75,ET,1555466400,87,8.96,38.73,57.2,4.7
Usinsk,93,RU,1555471951,95,66,57.56,3.29,5.03
Abha,0,SA,1555470000,72,18.22,42.5,60.8,3.36
Cherskiy,0,RU,1555471951,87,68.75,161.3,22.37,3.6
Marabba,18,SD,1555471951,24,12.35,32.18,89.15,6.29
Athabasca,100,CA,1555471951,52,54.72,-113.29,44.33,3.33
Scarborough,100,GB,1555471899,100,54.28,-0.41,45,3.36
Lavrentiya,77,RU,1555471952,90,65.58,-170.99,7.97,7.74
Nioro,0,GM,1555471952,30,13.79,-15.05,77.63,11.12
Isangel,75,VU,1555466400,70,-19.55,169.27,87.8,21.92
Narsaq,3,GL,1555469400,80,60.91,-46.05,35.6,4.7
Neuquen,0,AR,1555470000,81,-38.95,-68.06,53.6,2.24
Astoria,90,US,1555471905,87,46.19,-123.83,51.01,6.93
Preobrazheniye,0,RU,1555471952,32,42.9,133.91,65.57,4.61
Rundu,39,NA,1555470000,73,-17.91,19.77,69.8,1.12
Chirongui,0,YT,1555470000,94,-12.93,45.15,80.6,2.24
Santa Cruz,1,US,1555471746,62,36.97,-122.03,60.01,12.75
Bubaque,0,GW,1555471953,67,11.28,-15.83,78.53,16.24
Margate,0,AU,1555471905,27,-43.03,147.26,81,18.34
Kaeo,60,NZ,1555470485,70,-35.1,173.78,64.99,8.99
Lindenhurst,90,US,1555471940,81,42.41,-88.03,52,11.1
Vestmannaeyjar,14,IS,1555471954,85,63.44,-20.27,45.59,23.91
Rognan,0,NO,1555471883,51,67.1,15.4,35.6,14.99
Sobolevo,0,RU,1555471954,90,54.43,31.9,37.85,9.91
Schattdorf,75,CH,1555471937,100,46.86,8.65,48.99,2.24
Kahului,75,US,1555469640,83,20.89,-156.47,75.99,12.75
Richards Bay,35,ZA,1555472014,77,-28.77,32.06,70.97,12.77
Mahanoro,0,MG,1555472014,96,-19.9,48.8,72.41,1.79
Shama,1,YE,1555472014,61,15.9,43.48,86.09,6.15
Nyagan,100,RU,1555472015,87,62.14,65.43,2.57,12.77
Laguna,0,MX,1555472015,53,27.52,-110.01,70.07,4.81
Anloga,20,GH,1555466400,88,5.79,0.9,82.4,3.36
Kutum,0,SD,1555472015,23,14.2,24.66,71.51,4.97
Brae,0,GB,1555469400,75,60.4,-1.35,42.8,12.75
Zhanaozen,100,KZ,1555472015,51,43.35,52.85,61.43,19.77
Karaton,20,ID,1555471991,62,-6.34,106.1,87.8,3.36
Clyde River,40,CA,1555470000,83,70.47,-68.59,-14.81,3.36
Batagay-Alyta,80,RU,1555472016,88,67.8,130.41,8.87,4.38
Saint-Augustin,0,FR,1555471845,76,44.83,-0.61,53.6,9.17
Alghero,0,IT,1555471985,100,40.56,8.32,48,5.17
Hereford,1,GB,1555471748,93,52.06,-2.72,46,2.8
Kieta,100,PG,1555472016,64,-6.22,155.63,85.37,4.38
Luganville,40,VU,1555470000,66,-15.51,167.18,86,8.05
Berat,17,AL,1555472017,74,40.7,19.96,51.53,4.41
Kavaje,75,AL,1555469400,87,41.18,19.56,50,3.36
Appleton,1,US,1555471638,75,44.26,-88.41,46.99,3.36
Marawi,17,PH,1555471910,77,8,124.29,82.99,8.01
Taltal,0,CL,1555472017,72,-25.41,-70.49,63.95,1.9
Harlingen,90,US,1555471695,83,26.19,-97.7,75.99,13.87
Bridgewater,2,US,1555471981,48,41.99,-70.98,50,12.75
West Wendover,20,US,1555469760,61,40.74,-114.07,48.2,3.36
Porto Novo,20,BR,1555470000,100,-23.68,-45.44,68,4.7
Tautira,40,PF,1555471986,66,-17.73,-149.15,87.8,11.41
Vostok,10,RU,1555471980,27,46.45,135.83,67.73,10.11
Port Augusta,61,AU,1555471910,15,-32.49,137.76,93.2,24.16
Ushirombo,65,TZ,1555472019,94,-3.47,31.9,63.77,1.25
Shelburne,75,CA,1555471962,64,44.08,-80.2,41,5.95
Bahia Honda,0,CU,1555472019,75,22.9,-83.16,79.07,13.96
Jardim,0,BR,1555472019,79,-21.48,-56.15,71.51,3.6
Torata,96,PE,1555472019,71,-17.08,-70.84,60.53,2.8
Esperance,75,TT,1555471878,88,10.24,-61.45,77,16.11
Chuy,4,UY,1555472020,72,-33.69,-53.46,68.09,13.06
Hami,91,CN,1555472020,17,42.84,93.51,72.95,2.3
Lubango,60,AO,1555472020,53,-14.92,13.49,72.95,0.89
Manaure,56,CO,1555472020,81,11.78,-72.45,80.15,16.89
Vao,0,EE,1555472020,93,59.1,26.19,34.43,3.27
San Andres,25,PH,1555472021,60,13.32,122.68,87.89,6.78
Koumac,70,NC,1555472021,73,-20.56,164.28,80.33,11.65
Doha,0,QA,1555470000,64,25.29,51.53,75.2,6.93
Tall Kayf,90,TR,1555470000,93,37.08,41.07,50,6.93
Olinda,90,EC,1555471960,78,-2.03,-79.75,78.8,11.41
Launceston,90,AU,1555471582,49,-41.43,147.14,73.4,17.22
Kompaniyivka,86,UA,1555472082,89,48.25,32.21,39.65,4.83
Brownsville,90,US,1555472058,83,25.91,-97.49,75.99,13.87
Morant Bay,20,JM,1555470000,69,17.88,-76.41,80.6,6.93
Camopi,86,GF,1555472082,99,3.17,-52.33,73.13,2.21
Lagoa,0,PT,1555471960,93,37.14,-8.45,59,4.7
Roslavl,0,RU,1555472083,85,53.95,32.86,38.39,10.63
Anadyr,40,RU,1555471990,85,64.73,177.51,23,13.42
Kita,75,JP,1555472076,72,35.76,139.74,69.01,6.93
Iquitos,0,PE,1555470000,94,-3.75,-73.25,77,1.45
Ucluelet,100,CA,1555471946,97,48.94,-125.55,48,1.01
Maceio,20,BR,1555470000,88,-9.67,-35.74,75.2,5.82
Klaksvik,100,FO,1555471200,81,62.23,-6.59,44.6,21.92
Khasan,0,RU,1555472084,22,42.43,130.64,69.35,8.14
Timizart,0,DZ,1555471802,69,36.8,4.25,57,6.76
Pangnirtung,2,CA,1555472084,72,66.15,-65.72,-11.12,3.94
Mahebourg,40,MU,1555472044,88,-20.41,57.7,77,5.82
Yatou,100,CM,1555472084,68,3.63,9.81,85.01,2.86
Itinga,100,BR,1555472084,98,-16.61,-41.77,68.27,3.98
Provideniya,0,RU,1555470000,62,64.42,-173.23,23,6.71
Kautokeino,51,NO,1555472085,90,69.01,23.04,16.07,2.59
Sao Filipe,91,CV,1555472085,83,14.9,-24.5,71.33,16.4
Alice Springs,0,AU,1555470000,18,-23.7,133.88,87.8,4.7
Labuhan,17,ID,1555472085,48,-2.54,115.51,95.27,0.56
Scottsboro,1,US,1555472028,87,34.67,-86.03,62.6,6.38
Bintulu,75,MY,1555470000,79,3.17,113.03,86,4.7
Paita,10,PE,1555472086,90,-5.09,-81.11,72.05,13.89
Kozhva,69,RU,1555472086,90,65.11,57.05,6.71,2.51
Tromso,75,NO,1555469400,80,69.65,18.96,33.8,3.36
Atar,0,MR,1555472086,18,20.52,-13.05,83.03,8.77
Erzin,40,TR,1555471916,82,36.95,36.2,55.4,5.82
Myitkyina,0,MM,1555472086,35,25.38,97.4,87.35,1.79
Shingu,75,JP,1555470000,55,33.72,135.99,66.2,8.05
Karratha,0,AU,1555472087,24,-20.74,116.85,94.55,6.76
Cairns,40,AU,1555471821,58,-16.92,145.77,82.4,16.11
Mildura,87,AU,1555471936,15,-34.18,142.16,90,10.29
Ust-Kan,46,RU,1555472087,47,50.93,84.77,33.89,6.76
Puri,40,ID,1555470000,79,-7.54,112.45,86,8.05
Harper,90,US,1555471963,77,30.3,-99.24,69.8,12.75
Poltavskaya,74,RU,1555471529,94,45.36,38.22,50,1.99
High Prairie,38,CA,1555472088,48,55.43,-116.48,43.43,2.48
Rafai,12,CF,1555472088,79,4.95,23.92,71.69,1.83
Chipata,24,ZM,1555472148,87,-13.64,32.65,65.93,4.54
Kangaatsiaq,96,GL,1555472148,80,68.31,-53.46,14.09,17.87
Sao Felix do Xingu,98,BR,1555472149,97,-6.64,-51.99,70.79,2.37
Santa-Maria,0,FR,1555470000,81,41.88,8.98,50,5.82
Yabrud,0,SY,1555471854,87,33.97,36.66,46.4,11.41
Abancay,96,PE,1555472149,80,-13.64,-72.88,49.19,2.13
Hambantota,40,LK,1555470600,84,6.12,81.12,86,3.36
Aklavik,20,CA,1555470000,53,68.22,-135.01,24.8,9.17
Panguna,100,PG,1555472149,71,-6.32,155.48,84.65,9.24
Banda Aceh,60,ID,1555472150,67,5.56,95.32,84.83,1.77
Sigli,66,ID,1555472150,56,5.38,95.96,88.25,3.04
Severo-Kurilsk,100,RU,1555472150,89,50.68,156.12,34.61,34.02
Pamekasan,100,ID,1555472150,77,-7.16,113.47,84.47,3.36
Kudahuvadhoo,100,MV,1555472150,70,2.67,72.89,86.63,10.83
Solnechnyy,99,RU,1555472150,27,50.72,136.64,53.69,1.81
Luanda,75,AO,1555470000,88,-8.83,13.24,78.8,8.05
Guider,83,CM,1555472150,15,9.93,13.94,82.13,3.29
Kampong Thum,100,KH,1555472151,67,12.71,104.89,87.89,7.47
Tarakan,37,ID,1555472151,61,3.3,117.63,88.25,5.57
Faanui,87,PF,1555472151,76,-16.48,-151.75,85.37,11.95
Tawau,40,MY,1555470000,62,4.26,117.89,89.6,6.93
Pinega,98,RU,1555472151,87,64.7,43.39,28.13,6.93
Tessalit,45,ML,1555472109,6,20.2,1.01,79.25,11.36
Singarayakonda,0,IN,1555472152,50,15.25,80.02,89.15,13.15
Pilar,0,AR,1555472102,100,-34.46,-58.91,66.2,6.53
Suntar,33,RU,1555472152,58,62.16,117.65,28.13,2.3
Cap Malheureux,40,MU,1555472044,88,-19.98,57.61,77,5.82
Coihaique,0,CL,1555470000,65,-45.58,-72.07,44.6,4.7
Biryusinsk,16,RU,1555472152,51,55.96,97.82,36.95,5.57
Safford,90,US,1555471797,82,32.83,-109.71,62.01,14.99
Lazaro Cardenas,5,MX,1555469340,12,28.39,-105.62,73.4,14.99
Lompoc,75,US,1555472138,81,34.64,-120.46,61,8.05
Filadelfia,1,PY,1555472153,78,-22.35,-60.04,74.03,3.6
Chapais,1,CA,1555470000,63,49.78,-74.86,28.4,5.82
Tanout,0,NE,1555472153,11,14.97,8.88,72.77,9.53
Saskylakh,60,RU,1555472153,93,71.97,114.09,-4.82,8.86
Pevek,98,RU,1555472154,81,69.7,170.27,16.25,5.01
Guasdualito,75,VE,1555466400,100,7.24,-70.73,75.2,1.88
Naze,98,NG,1555472154,85,5.43,7.07,77.63,3.87
Sorong,100,ID,1555472111,87,-0.86,131.25,82.85,1.23
Zhangye,14,CN,1555471898,12,38.94,100.46,64.67,5.75
Fayaoue,13,NC,1555472154,79,-20.65,166.53,79.25,24.25
Rabo de Peixe,40,PT,1555472176,76,37.8,-25.58,55,11.41
Hualmay,100,PE,1555472214,91,-11.1,-77.61,69.53,14.45
Key West,40,US,1555471911,71,47.93,-96.78,53.6,4.7
Lons-le-Saunier,75,FR,1555472205,93,46.67,5.56,45,1.12
Sandnessjoen,0,NO,1555471814,51,66.02,12.63,37.4,12.75
Weinfelden,90,CH,1555472187,93,47.57,9.11,48.99,2.24
Tecolutla,0,MX,1555472215,54,17.31,-98.74,65.21,6.49
Dana Point,90,US,1555472193,82,33.47,-117.7,61,6.93
Rio Gallegos,90,AR,1555470000,65,-51.62,-69.22,44.6,12.75
Menongue,76,AO,1555472216,87,-14.66,17.68,63.77,0.4
Komsomolskiy,71,RU,1555472216,97,67.55,63.78,-6.62,6.67
Luis Correia,86,BR,1555472216,97,-2.88,-41.67,74.21,1.63
Mehamn,20,NO,1555469400,80,71.03,27.85,39.2,20.8
Copala,0,MX,1555472216,71,16.61,-98.97,82.85,5.66
Sitka,28,US,1555471957,79,37.17,-99.65,62.01,11.01
Nuuk,75,GL,1555471965,73,64.17,-51.74,19.4,10.29
